run,generation,member,node,weight,zoom,scale,fitness
run-14,checkpoint-4,0,0,-1.873693799165934,0.4407406702602178,0.9075982372946303,12.911338667883568
run-14,checkpoint-4,1,0,-1.8537264179764243,0.4243481947812837,0.9075982372946303,9.900821553751893
run-14,checkpoint-4,2,0,-1.9090322511143474,0.4407406702602178,0.9632144319837057,10.351872470695891
run-14,checkpoint-4,3,0,1.5351681965215547,-0.09004391610031988,1.0556159814164248,9.359942037073935
run-14,checkpoint-4,4,0,-1.7940661902767892,0.4710366425985167,0.9248286481045898,24.655044114946232
run-14,checkpoint-4,5,0,-1.865645527342621,0.4339506286930818,0.9565084543012283,27.029274696421677
run-14,checkpoint-4,6,0,-1.9090322511143474,0.4588746195194866,0.9270817697234823,29.64776019039152
run-14,checkpoint-4,7,0,-1.9090322511143474,0.6452087779642569,0.9075982372946303,13.207023974620766
run-14,checkpoint-4,8,0,-1.8794157038944173,0.4327029535674521,0.8451911854251685,23.44576701203797
run-14,checkpoint-4,9,0,-1.933638391621343,0.5320694348923474,0.8498720346023229,23.172249937818744
run-14,checkpoint-4,10,0,1.4560999366566272,-0.16111006070799916,1.0268047411771803,28.233366289356166
run-14,checkpoint-4,11,0,-2.0162635647216534,0.5320694348923474,0.9075982372946303,33.54424314379914
run-14,checkpoint-4,12,0,-1.9090322511143474,0.36234390479080103,0.9064970171946755,14.55841968146182
run-14,checkpoint-4,13,0,-1.8537264179764243,0.4407406702602178,0.9270817697234823,36.778861911485336
run-14,checkpoint-4,14,0,1.469690303256291,-0.12893127071502666,1.0556159814164248,9.309898601282782
run-14,checkpoint-4,15,0,1.469690303256291,-0.13833638367402482,1.0556159814164248,9.59507967114474
run-14,checkpoint-4,16,0,-1.8275420591430667,0.5333876008585725,0.9075982372946303,12.488416097900387
run-14,checkpoint-4,17,0,-1.890229350156167,0.4327029535674521,0.9075982372946303,10.287037450362279
run-14,checkpoint-4,18,0,-1.9090322511143474,0.5320694348923474,0.9071362676214135,39.28945451088659
run-14,checkpoint-4,19,0,-1.9090322511143474,0.5868993667643314,0.956318626614514,31.088595469434825
run-14,checkpoint-12,0,0,-2.0777549906535775,0.49643410729727117,0.993168462435288,25.028991809395755
run-14,checkpoint-12,1,0,-1.8886917652031707,0.4532462910305405,0.9505079562150747,13.378345576857653
run-14,checkpoint-12,2,0,-1.951431124817768,0.6379331575959113,1.0200055201218994,7.480998990061279
run-14,checkpoint-12,3,0,-1.9202263161387105,0.5753790360802926,0.9976856188581966,7.4729662320401875
run-14,checkpoint-12,4,0,-2.067536072963033,0.5188766811411355,0.9525578522152569,7.667446797743657
