generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed
0,20,1,13.151553692553275,11.100403883861611,56.01566470309597,0,161.76915955543518
1,20,1,15.816862391004136,3.952882822937488,22.63886603695168,0,211.4049994945526
2,20,1,17.671659952089108,6.648633366385769,33.382567797713634,0,211.3496859073639
3,20,1,12.682863313045793,13.184487782637882,45.187661995153334,0,188.92557096481323
4,20,1,21.318520895836965,13.760232652257836,59.978580972871725,0,284.68479180336
